name,hof_yr,college,wAV,AV,pass_rating,draft_yr,retire_yr,yrs_played,gm_play,gm_start,pass_yds,pass_ypg,TD,TD%,INT,INT%,att,cmp,cmp_%,YPA,adj_YPA,net_YPA,adj_net_YPA,YPC,round,pick,all_star,superbowls,comebacks,GWD,wt,wins,losses,ht_in
Greg Cook,0,Cincinnati,10.0,10.0,87.6,1969,1973,2,12,11,1865.0,155.4,15,7.5,11,5.5,200,107,53.5,9.3,8.35,7.29,6.44,17.4,1,5,[],0,1,0,220.0,4,6,76.0
Marty Domres,8842,Columbia,19.0,21.0,53.8,1969,1977,9,90,32,4904.0,54.5,27,3.3,50,6.2,809,399,49.3,6.1,3.95,4.86,2.93,12.3,1,9,0,0,3,2,220.0,12,20,76.0
Terry Hanratty,8842,Notre Dame,8.0,8.0,43.0,1969,1976,8,50,18,2510.0,50.2,24,5.6,35,8.1,431,165,38.3,5.8,3.28,4.75,2.4,15.2,2,30,[],2,3,2,210.0,6,12,73.0
Bobby Douglass,8842,Kansas,37.0,41.0,48.5,1969,1978,10,91,53,6493.0,71.4,36,3.1,64,5.4,1178,507,43.0,5.5,3.68,3.8,2.21,12.8,2,41,0,0,3,4,225.0,16,36,76.0
Al Woodall,0,Duke,13.0,13.0,60.3,1969,1974,5,31,19,2970.0,95.8,18,3.6,23,4.6,503,246,48.9,5.9,4.56,4.47,3.27,12.1,2,52,0,0,1,1,205.0,5,14,77.0
James Harris,8842,Grambling St.,38.0,42.0,67.3,1969,1979,10,83,41,8136.0,98.0,45,3.9,59,5.1,1149,607,52.8,7.1,5.55,5.81,4.41,13.4,8,192,['1x Pro Bowl'],0,6,9,210.0,25,16,76.0
Sam Havrilak,8842,Bucknell,10.0,0.0,124.0,1969,1974,6,75,15,4.0,10.1,3,1.0,51,761.0,3,289,32.0,4.0,62.0,4.0,10.0,0.7,8,207,[],1,0,0,195.0,73,0,74.0
Bob Naponic,0,Illinois,0.0,0.0,8.0,1969,0,0,2,0,0.0,5.2,0,2.0,10,21.0,30,20,85.0,-0.25,14.2,-2.07,0.0,42.5,10,256,0,0,0,0,190.0,6,0,72.0
Brian Dowling,0,Yale,1.0,1.0,4.0,1969,1977,3,27,0,2.0,79.6,3,1.0,1,42.0,52,55,383.0,6.87,13.2,5.34,0.0,14.2,11,277,0,0,0,1,210.0,29,0,74.0
Greg Landry,8842,Massachusetts,80.0,96.0,72.9,1968,1984,15,146,98,16052.0,109.9,98,4.3,103,4.5,2300,1276,55.5,7.0,5.82,5.18,4.16,12.6,1,11,['1x Pro Bowl'],0,8,8,210.0,44,51,76.0
Eldridge Dickey,0,Tennessee St.,1.0,0.0,112.0,1968,1971,2,18,2,34.0,22.4,0,6.2,0,0.0,22,112,1.0,0.0,0.0,,,5.0,1,25,0,0,0,0,198.0,5,0,74.0
Gary Beban,0,UCLA,0.0,0.0,6.0,1968,1969,2,5,0,3.6,2.4,3,1.0,1,12.0,0,18,5.0,0.0,12.0,0.0,0.0,0.2,2,30,0,0,0,0,195.0,5,0,73.0
Mike Livingston,8842,SMU,42.0,50.0,63.3,1968,1979,12,91,75,11295.0,124.1,56,3.2,83,4.7,1751,912,52.1,6.5,4.96,5.2,3.83,12.4,2,48,['1x Pro Bowl'],1,6,7,212.0,31,43,76.0
Ken Stabler,1974,Alabama,93.0,118.0,75.3,1968,1984,15,184,146,27938.0,151.8,194,5.1,222,5.9,3793,2270,59.8,7.4,5.75,6.24,4.74,12.3,2,52,"['4x Pro Bowl', '1x All-Pro']",1,16,23,215.0,96,49,75.0
Gary Davis,8842,Cal Poly-San Luis Obispo,23.0,0.0,407.0,1976,1981,6,80,13,4.4,8.4,17,4.1,83,671.0,7,1410,65.0,1.0,34.0,9.0,24.0,1.0,6,174,0,0,0,0,202.0,324,0,70.0
Billy Stevens,0,Texas-El Paso,0.0,0.0,0.0,1968,0,2,3,0,0.0,39.6,0,0.0,0,12.0,20,5,12.0,2.4,12.0,2.4,0.0,4.0,3,67,0,0,0,0,195.0,1,0,74.0
Kim Hammond,0,Florida St.,0.0,0.0,3.0,1968,0,2,6,0,0.0,34.2,0,2.0,6,25.0,46,32,147.0,1.78,9.8,0.83,0.0,24.5,6,142,0,0,0,0,190.0,15,0,73.0
Dewey Warren,0,Tennessee,2.0,2.0,60.7,1968,1968,0,7,4,506.0,72.3,1,1.3,4,5.0,80,47,58.8,6.3,4.33,4.86,3.08,10.8,6,155,0,0,0,0,205.0,0,4,72.0
Dan Darragh,0,William & Mary,2.0,-2.0,30.4,1968,1970,3,17,11,1353.0,79.6,4,1.4,22,7.4,296,127,42.9,4.6,1.5,2.96,0.23,10.7,13,336,0,0,1,0,196.0,1,10,75.0
Marlin Briscoe,8842,Nebraska-Omaha,42.0,49.0,62.1,1968,1976,9,105,74,1697.0,16.2,14,6.0,14,6.0,233,97,41.6,7.3,5.78,5.33,4.01,17.5,14,357,['1x Pro Bowl'],2,1,2,178.0,2,3,71.0
Steve Spurrier,8842,Florida,26.0,29.0,60.1,1967,1976,10,106,38,6878.0,64.9,40,3.5,60,5.2,1151,597,51.9,6.0,4.32,5.03,3.49,11.5,1,3,0,0,2,1,204.0,13,24,74.0
Bob Griese,1971,Purdue,104.0,138.0,77.1,1967,1980,14,161,151,25092.0,155.9,192,5.6,172,5.0,3429,1926,56.2,7.3,6.18,5.89,4.85,13.0,1,4,"['8x Pro Bowl', '2x All-Pro']",2,15,19,190.0,92,56,73.0
Don Horn,8842,Washington St.,10.0,10.0,55.9,1967,1974,8,57,15,3369.0,59.1,20,4.3,36,7.7,465,232,49.9,7.2,4.62,6.37,3.89,14.5,1,25,[],1,1,1,195.0,6,8,74.0
Tim Jones,0,Southern Miss,1.0,0.0,0.0,0,0,3,6,3,0.0,0.0,5,45.5,20,0.4,113,14,8.1,63.6,5.1,14.0,8.1,0.0,0,0,0,0,113,0,200.0,22,0,73.0
Virgil Carter,8842,BYU,26.0,28.0,69.9,1967,1976,7,52,30,5063.0,97.4,29,3.7,31,3.9,785,425,54.1,6.4,5.41,5.6,4.62,11.9,6,142,0,0,1,3,192.0,16,14,73.0
Paul Krause,8842,Iowa,119.0,0.0,,1964,1979,16,226,203,3.0,,19,163.0,3,2.0,3,1185,81.0,162.0,,,,,2,18,"['8x Pro Bowl', '3x All-Pro']",0,0,0,200.0,81,0,75.0
Randy Johnson,8842,Texas A&M-Kingsville,24.0,28.0,55.1,1966,1976,10,75,49,8329.0,111.1,51,4.0,90,7.0,1286,647,50.3,6.5,4.12,4.89,2.78,12.9,1,16,0,0,2,2,205.0,10,38,75.0
Rick Norton,0,Kentucky,6.0,6.0,30.0,1966,1970,5,32,11,1815.0,56.7,7,1.8,30,7.9,382,159,41.6,4.8,1.58,3.23,0.41,11.4,1,2,0,0,0,2,200.0,1,10,74.0
Tim Van Galder,0,New Mex. Mil. Inst.,2.0,2.0,34.5,1966,1972,0,5,5,434.0,86.8,1,1.3,7,8.9,79,40,50.6,5.5,1.76,4.02,0.71,10.9,2,13,0,0,0,0,200.0,1,3,74.0
Ron Meyer,0,South Dakota St.,0.0,0.0,4.0,1966,0,0,4,0,0.0,23.8,0,1.0,5,19.0,36,19,59.0,0.74,8.4,-0.39,0.0,14.8,7,107,0,0,0,0,205.0,7,0,76.0
Steve Sloan,0,Alabama,0.0,0.0,7.4,1966,0,2,8,1,134.0,16.8,0,0.0,4,12.9,31,10,32.3,4.3,-1.48,0.55,-3.55,13.4,11,156,0,0,0,0,185.0,0,1,72.0
Benjy Dial,0,Eastern New Mexico,0.0,0.0,1.0,1966,0,0,1,0,0.0,42.4,0,0.0,0,5.0,33,3,5.0,1.67,5.0,-3.25,0.0,5.0,13,188,0,0,0,0,185.0,1,0,73.0
Jim Ward,0,Gettysburg,1.0,1.0,3.0,1966,1971,3,13,0,2.0,63.8,7,2.0,7,22.0,50,26,165.0,4.42,12.7,3.03,0.0,12.7,14,215,[],0,0,1,196.0,13,0,74.0
Jim LeClair,0,C.W. Post,2.0,2.0,50.7,1966,1968,2,8,4,676.0,84.5,2,2.0,6,6.1,99,46,46.5,6.8,4.51,3.27,1.47,14.7,16,241,0,0,0,0,200.0,0,4,73.0
Benny Russell,0,Louisville,0.0,0.0,0.0,1966,0,0,1,0,0.0,56.2,0,0.0,0,3.0,50,2,3.0,1.5,3.0,,,3.0,11,99,0,0,0,0,190.0,1,0,73.0
Joe Namath,1965,Alabama,94.0,115.0,65.5,1965,1977,13,140,129,27663.0,197.6,173,4.6,220,5.8,3762,1886,50.1,7.4,5.64,6.62,4.99,14.7,1,2,"['5x Pro Bowl', '1x All-Pro']",1,15,15,200.0,62,63,74.0
Craig Morton,8842,California,84.0,118.0,73.5,1965,1982,18,207,144,27908.0,134.8,183,4.8,187,4.9,3786,2053,54.2,7.4,6.12,5.93,4.8,13.6,1,5,[],1,12,21,214.0,81,62,76.0
Joe Namath,1965,Alabama,94.0,115.0,65.5,1965,1977,13,140,129,27663.0,197.6,173,4.6,220,5.8,3762,1886,50.1,7.4,5.64,6.62,4.99,14.7,1,2,"['5x Pro Bowl', '1x All-Pro']",1,15,15,200.0,62,63,74.0
John Huarte,0,Notre Dame,1.0,1.0,22.4,1965,1972,6,24,1,230.0,9.6,1,2.1,5,10.4,48,19,39.6,4.8,0.52,2.98,-0.61,12.1,2,12,0,0,0,0,185.0,0,1,72.0
John Huarte,0,Notre Dame,1.0,1.0,22.4,1965,1972,6,24,1,230.0,9.6,1,2.1,5,10.4,48,19,39.6,4.8,0.52,2.98,-0.61,12.1,2,12,0,0,0,0,185.0,0,1,72.0
Gary Lane,0,Missouri,1.0,1.0,73.2,1965,1968,3,18,1,254.0,14.1,2,4.7,1,2.3,43,21,48.8,5.9,5.79,4.77,4.66,12.1,2,16,0,0,0,0,210.0,0,1,73.0
Ernie Kellerman,8842,Miami (OH),38.0,0.0,,1965,1973,8,105,76,1.0,,6,0.0,0,0.0,1,142,40.0,44.0,,,,,12,159,['1x Pro Bowl'],0,0,0,183.0,19,0,72.0
Steve Tensi,8842,Florida St.,20.0,21.0,59.0,1965,1970,6,56,34,5558.0,99.3,43,5.0,46,5.3,862,369,42.8,6.4,5.04,5.18,3.89,15.1,4,30,0,0,1,1,215.0,10,23,77.0
