player,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,ht_in,wt,college,draft_yr,round,pick,nfl_success,win_success,stats_success,metrics_success,longevity_success,superbowl_success
Greg Cook,29,332,655,50.7,4906,34,5.2,35,5.3,7.5,6.12,14.8,169.2,120.0,76.0,220.0,Cincinnati,1969,1,5,0,0,0,0,0,0
Marty Domres,27,368,702,52.4,4492,24,3.4,38,5.4,6.4,4.65,12.2,166.4,106.6,76.0,220.0,Columbia,1969,1,9,0,0,0,0,1,0
Terry Hanratty,29,304,550,55.3,4152,27,4.9,34,6.2,7.5,5.75,13.7,143.2,122.5,73.0,210.0,Notre Dame,1969,2,30,0,0,0,0,0,1
Bobby Douglass,30,183,379,48.3,2817,20,5.3,20,5.3,7.4,6.11,15.4,93.9,117.6,76.0,225.0,Kansas,1969,2,41,0,0,0,0,1,0
Al Woodall,20,118,221,53.4,1501,4,1.8,13,5.9,6.8,4.51,12.7,75.1,104.7,77.0,205.0,Duke,1969,2,52,0,0,0,0,0,0
Bob Naponic,30,166,404,41.1,1937,7,1.7,19,4.7,4.8,3.02,11.7,64.6,77.7,72.0,190.0,Illinois,1969,10,256,0,0,0,0,0,0
Brian Dowling,27,148,280,52.9,2327,30,10.7,20,7.1,8.3,7.24,15.7,86.2,143.7,74.0,210.0,Yale,1969,11,277,0,1,0,0,0,0
Gary Beban,30,235,444,52.9,3940,23,5.2,23,5.2,8.9,7.58,16.8,131.3,134.2,73.0,195.0,UCLA,1968,2,30,0,0,0,0,0,0
Mike Livingston,30,207,370,55.9,2432,16,4.3,21,5.7,6.6,4.88,11.7,81.1,114.1,76.0,212.0,SMU,1968,2,48,1,0,0,0,1,1
Ken Stabler,30,180,303,59.4,2196,18,5.9,18,5.9,7.2,5.76,12.2,73.2,128.0,75.0,215.0,Alabama,1968,2,52,1,1,1,1,1,1
Billy Stevens,29,426,943,45.2,6495,51,5.4,65,6.9,6.9,4.87,15.2,224.0,107.1,74.0,195.0,Texas-El Paso,1968,3,67,0,0,0,0,0,0
Kim Hammond,30,196,351,55.8,2777,19,5.4,15,4.3,7.9,7.07,14.2,92.6,131.6,73.0,190.0,Florida St.,1968,6,142,0,0,0,0,0,0
Dewey Warren,30,258,440,58.6,3339,27,6.1,16,3.6,7.6,7.18,12.9,111.3,135.4,72.0,205.0,Tennessee,1968,6,155,0,0,0,0,0,0
Dan Darragh,30,268,533,50.3,3361,30,5.6,32,6.0,6.3,4.73,12.5,112.0,109.8,75.0,196.0,William & Mary,1968,13,336,0,0,0,0,0,0
Steve Spurrier,30,392,692,56.6,4848,36,5.2,31,4.5,7.0,6.03,12.4,161.6,123.7,74.0,204.0,Florida,1967,1,3,0,0,0,0,1,0
Bob Griese,29,348,609,57.1,4402,28,4.6,29,4.8,7.2,6.00,12.6,151.8,123.5,73.0,190.0,Purdue,1967,1,4,1,1,1,1,1,1
Virgil Carter,30,327,736,44.4,5125,50,6.8,43,5.8,7.0,5.69,15.7,170.8,113.7,73.0,192.0,BYU,1967,6,142,0,0,0,0,0,0
Paul Krause,26,1,1,100.0,-3,0,0.0,0,0.0,-3.0,-3.00,-3.0,-0.1,74.8,75.0,200.0,Iowa,1964,2,18,1,0,1,0,1,0
Rick Norton,30,298,598,49.8,4514,26,4.3,44,7.4,7.5,5.11,15.1,150.5,112.9,74.0,200.0,Kentucky,1966,1,2,0,0,0,0,0,0
Tim Van Galder,30,259,578,44.8,3417,12,2.1,36,6.2,5.9,3.52,13.2,113.9,88.9,74.0,200.0,New Mex. Mil. Inst.,1966,2,13,0,0,0,0,0,0
Steve Sloan,30,142,234,60.7,2027,11,4.7,5,2.1,8.7,8.64,14.3,67.6,144.7,72.0,185.0,Alabama,1966,11,156,0,0,0,0,0,0
Joe Namath,30,203,374,54.3,2713,25,6.7,19,5.1,7.3,6.30,13.4,90.4,127.1,74.0,200.0,Alabama,1965,1,2,1,0,1,1,1,1
Joe Namath,30,203,374,54.3,2713,25,6.7,19,5.1,7.3,6.30,13.4,90.4,127.1,74.0,200.0,Alabama,1965,1,2,1,0,1,1,1,1
Craig Morton,30,355,641,55.4,4501,36,5.6,31,4.8,7.0,5.97,12.7,150.0,123.2,76.0,214.0,California,1965,1,5,1,0,1,1,1,1
John Huarte,29,138,255,54.1,2343,17,6.7,11,4.3,9.2,8.58,17.0,80.8,144.7,72.0,185.0,Notre Dame,1965,2,12,0,0,0,0,0,0
John Huarte,29,138,255,54.1,2343,17,6.7,11,4.3,9.2,8.58,17.0,80.8,144.7,72.0,185.0,Notre Dame,1965,2,12,0,0,0,0,0,0
Gary Lane,30,146,338,43.2,2034,14,4.1,26,7.7,6.0,3.38,13.9,67.8,92.0,73.0,210.0,Missouri,1965,2,16,0,0,0,0,0,0
Steve Tensi,30,252,472,53.4,3384,28,5.9,21,4.4,7.2,6.35,13.4,112.8,124.3,77.0,215.0,Florida St.,1965,4,30,0,0,0,0,1,0
Karl Sweetan,10,79,218,36.2,674,1,0.5,14,6.4,3.1,0.29,8.5,67.4,50.9,73.0,203.0,Texas A&M,1965,18,249,0,0,0,0,0,0
Pete Beathard,30,152,318,47.8,2184,14,4.4,15,4.7,6.9,5.63,14.4,72.8,110.6,73.0,200.0,USC,1964,1,2,0,0,0,0,1,0
Bill Munson,30,162,298,54.4,2258,16,5.4,9,3.0,7.6,7.29,13.9,75.3,129.7,74.0,203.0,Utah St.,1964,1,7,1,0,0,1,1,0
George Mira,30,375,766,49.0,4727,28,3.7,36,4.7,6.2,4.79,12.6,157.6,103.5,72.0,190.0,Miami (FL),1964,2,15,0,0,0,0,0,0
Jack Concannon,29,192,396,48.5,2940,23,5.8,18,4.5,7.4,6.54,15.3,101.4,120.9,75.0,205.0,Boston Col.,1964,1,1,0,0,0,0,1,0
Dick Shiner,30,287,536,53.5,3410,21,3.9,35,6.5,6.4,4.21,11.9,113.7,106.9,72.0,201.0,Maryland,1964,7,87,0,0,0,0,0,0
Gary Wood,27,135,311,43.4,1891,18,5.8,18,5.8,6.1,4.63,14.0,70.0,102.0,71.0,192.0,Cornell,1964,8,109,0,0,0,0,0,0
Larry Rakestraw,30,249,514,48.4,3142,19,3.7,42,8.2,6.1,3.18,12.6,104.7,95.6,74.0,195.0,Georgia,1964,11,87,0,0,0,0,0,0
Roger Staubach,30,293,463,63.3,3571,18,3.9,19,4.1,7.7,6.64,12.2,119.0,132.7,75.0,197.0,New Mex. Mil. Inst.,1964,16,122,1,1,1,1,1,1
Bob Berry,30,271,494,54.9,4148,37,7.5,24,4.9,8.4,7.71,15.3,138.3,140.4,71.0,185.0,Oregon,1964,11,142,0,0,0,0,1,0
Jerry Rhome,30,448,713,62.8,5472,43,6.0,23,3.2,7.7,7.43,12.2,182.4,140.8,72.0,190.0,SMU,1964,13,172,0,0,0,0,0,0
Terry Baker,30,233,454,51.3,3476,23,5.1,25,5.5,7.7,6.19,14.9,115.9,121.3,75.0,200.0,Oregon St.,1963,1,1,0,1,0,0,0,0
Don Trull,30,325,593,54.8,4143,28,4.7,29,4.9,7.0,5.73,12.7,138.1,119.3,73.0,195.0,Baylor,1963,14,111,0,0,0,0,0,0
Pete Liske,30,195,355,54.9,2370,24,6.8,10,2.8,6.7,6.76,12.2,79.0,127.7,75.0,200.0,Penn St.,1963,15,115,0,0,0,0,0,0
