Year,No.,Round,Pick,Player,Name,Team,College
2024,1,1,1,1,Caleb Williams,Bears,USC
2024,2,1,2,2,Jayden Daniels,Commanders,Louisiana State
2024,3,1,3,3,Drake Maye,Patriots,North Carolina
2024,4,1,8,8,Michael Penix,Falcons,Washington
2024,5,1,10,10,J.J. McCarthy,Vikings,Michigan
2024,6,1,12,12,Bo Nix,Broncos,Oregon
2024,7,5,15,150,Spencer Rattler,Saints,South Carolina
2024,8,5,36,171,Jordan Travis,Jets,Florida State
2024,9,6,17,193,Joe Milton,Patriots,Tennessee
2024,10,6,42,218,Devin Leary,Ravens,Kentucky
2024,11,7,25,245,Michael Pratt,Packers,Tulane
2023,1,1,1,1,Bryce Young,Panthers,Alabama
2023,2,1,2,2,C.J. Stroud,Texans,Ohio State
2023,3,1,4,4,Anthony Richardson,Colts,Florida
2023,4,2,2,33,Will Levis,Titans,Kentucky
2023,5,3,5,68,Hendon Hooker,Lions,Tennessee
2023,6,4,25,127,Jake Haener,Saints,Fresno State
2023,7,4,26,128,Stetson Bennett,Rams,Georgia
2023,8,4,33,135,Aidan O'Connell,Raiders,Purdue
2023,9,5,4,139,Clayton Tune,Cardinals,Houston
2023,10,5,5,140,Dorian Thompson-Robinson,Browns,UCLA
2023,11,5,14,149,Sean Clifford,Packers,Penn State
2023,12,5,29,164,Jaren Hall,Vikings,Brigham Young
2023,13,6,11,188,Tanner McKee,Eagles,Stanford
2023,14,7,22,239,Max Duggan,Chargers,Texas Christian
2022,1,1,20,20,Kenny Pickett,Steelers,Pittsburgh
2022,2,3,10,74,Desmond Ridder,Falcons,Cincinnati
2022,3,3,22,86,Malik Willis,Titans,Liberty
2022,4,3,30,94,Matt Corral,Panthers,Mississippi
2022,5,4,32,137,Bailey Zappe,Patriots,Western Kentucky
2022,6,5,1,144,Sam Howell,Commanders,North Carolina
2022,7,7,20,241,Chris Oladokun,Steelers,South Dakota State
2022,8,7,26,247,Skylar Thompson,Dolphins,Kansas State
2022,9,7,41,262,Brock Purdy,49ers,Iowa State
2021,1,1,1,1,Trevor Lawrence,Jaguars,Clemson
2021,2,1,2,2,Zach Wilson,Jets,Brigham Young
2021,3,1,3,3,Trey Lance,49ers,North Dakota State
2021,4,1,11,11,Justin Fields,Bears,Ohio State
2021,5,1,15,15,Mac Jones,Patriots,Alabama
2021,6,2,32,64,Kyle Trask,Buccaneers,Florida
2021,7,3,2,66,Kellen Mond,Vikings,Texas A&M
2021,8,3,3,67,Davis Mills,Texans,Stanford
2021,9,4,28,133,Ian Book,Saints,Notre Dame
2021,10,6,34,218,Sam Ehlinger,Colts,Texas
2020,1,1,1,1,Joe Burrow,Bengals,Louisiana State
2020,2,1,5,5,Tua Tagovailoa,Dolphins,Alabama
2020,3,1,6,6,Justin Herbert,Chargers,Oregon
2020,4,1,26,26,Jordan Love,Packers,Utah State
2020,5,2,21,53,Jalen Hurts,Eagles,Oklahoma
2020,6,4,16,122,Jacob Eason,Colts,Washington
2020,7,4,19,125,James Morgan,Jets,Florida International
2020,8,5,21,167,Jake Fromm,Bills,Georgia
2020,9,6,10,189,Jake Luton,Jaguars,Oregon State
2020,10,7,10,224,Cole McDonald,Titans,Hawaii
2020,11,7,17,231,Ben DiNucci,Cowboys,James Madison
