Player,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict
Aaron Rodgers,2005,9999,343.531,546.133,"{'Packers': 306.642, 'Jets': 36.889}"
Matt Stafford,2009,9999,328.0,507.909,"{'Lions': 219.0, 'Rams': 109.0}"
Tom Brady,2000,2022,317.62,600.483,"{'Patriots': 230.324, 'Buccaneers': 87.296}"
Matt Ryan,2008,2022,306.206,501.678,"{'Falcons': 269.5, 'Colts': 36.706}"
Russell Wilson,2012,9999,305.34,408.432,"{'Seahawks': 181.34, 'Broncos': 124.0}"
Kirk Cousins,2012,9999,281.469,364.089,"{'Vikings': 185.0, 'Falcons': 50.0, 'Commanders': 46.469}"
Drew Brees,2001,2020,273.933,514.108,"{'Saints': 259.25, 'Chargers': 14.683}"
Ben Roethlisberger,2004,2021,266.724,474.559,{'Steelers': 266.724}
Peyton Manning,1998,2015,247.714,645.366,"{'Colts': 170.714, 'Broncos': 77.0}"
Philip Rivers,2004,2020,242.15,454.719,"{'Chargers': 217.15, 'Colts': 25.0}"
Dak Prescott,2016,9999,239.896,289.497,{'Cowboys': 239.896}
Jared Goff,2016,9999,233.996,287.409,"{'Lions': 150.775, 'Rams': 83.221}"
Eli Manning,2004,2019,232.49,450.736,{'Giants': 232.49}
Alex Smith,2005,2020,210.0,375.107,"{'49ers': 71.5, 'Commanders': 71.0, 'Chiefs': 67.5}"
Ryan Tannehill,2012,2023,195.051,273.54,"{'Titans': 122.5, 'Dolphins': 72.551}"
Joe Flacco,2008,9999,177.435,309.89,"{'Ravens': 147.8, 'Broncos': 18.5, 'Jets': 5.542, 'Eagles': 2.843, 'Colts': 1.5, 'Browns': 1.25}"
Carson Palmer,2003,2017,172.5,379.361,"{'Bengals': 84.0, 'Cardinals': 73.5, 'Raiders': 15.0}"
Derek Carr,2014,9999,165.519,222.531,"{'Raiders': 135.519, 'Saints': 30.0}"
Jimmy Garoppolo,2014,9999,150.776,201.498,"{'49ers': 121.687, 'Raiders': 24.07, 'Patriots': 3.05, 'Rams': 1.969}"
Deshaun Watson,2017,9999,142.762,177.684,"{'Browns': 91.368, 'Texans': 51.394}"
Brett Favre,1991,2010,141.407,492.126,"{'Packers': 100.697, 'Vikings': 28.0, 'Jets': 12.0, 'Falcons': 0.71}"
Patrick Mahomes,2017,9999,136.153,170.188,{'Chiefs': 136.153}
Cam Newton,2011,2021,134.735,222.469,"{'Panthers': 127.385, 'Patriots': 7.35}"
Carson Wentz,2016,9999,130.383,176.665,"{'Eagles': 79.059, 'Commanders': 28.295, 'Colts': 21.306, 'Chiefs': 0.99, 'Rams': 0.732}"
Sam Bradford,2010,2017,129.982,237.559,"{'Rams': 65.06, 'Vikings': 25.0, 'Eagles': 23.985, 'Cardinals': 15.938}"
Jay Cutler,2006,2017,127.875,248.869,"{'Bears': 103.905, 'Broncos': 13.97, 'Dolphins': 10.0}"
Tony Romo,2003,2016,127.42,262.688,{'Cowboys': 127.42}
Michael Vick,2001,2015,118.645,311.481,"{'Falcons': 61.4, 'Eagles': 52.275, 'Jets': 4.0, 'Steelers': 0.97}"
Josh Allen,2018,9999,112.904,142.759,{'Bills': 112.904}
Lamar Jackson,2018,9999,112.488,132.419,{'Ravens': 112.488}
Andrew Luck,2012,2018,109.108,179.631,{'Colts': 109.108}
Andy Dalton,2011,9999,106.514,165.826,"{'Bengals': 83.514, 'Bears': 10.0, 'Panthers': 6.0, 'Saints': 4.0, 'Cowboys': 3.0}"
Kyler Murray,2019,9999,99.134,122.019,{'Cardinals': 99.134}
Donovan McNabb,1999,2010,96.921,278.421,"{'Eagles': 76.765, 'Commanders': 15.106, 'Vikings': 5.05}"
Matt Schaub,2004,2020,95.935,193.503,"{'Texans': 70.0, 'Falcons': 14.935, 'Raiders': 8.0, 'Ravens': 3.0}"
Jordan Love,2020,9999,94.883,99.15,{'Packers': 94.883}
Matt Hasselbeck,1998,2015,88.163,227.556,"{'Seahawks': 62.65, 'Titans': 14.5, 'Colts': 10.25, 'Packers': 0.763}"
Nick Foles,2012,2022,83.756,120.35,"{'Jaguars': 30.125, 'Bears': 18.4, 'Eagles': 17.339, 'Rams': 12.042, 'Colts': 4.1, 'Chiefs': 1.75}"
Ryan Fitzpatrick,2005,2021,80.558,141.637,"{'Bills': 27.225, 'Jets': 15.25, 'Dolphins': 13.5, 'Commanders': 9.062, 'Buccaneers': 6.3, 'Texans': 4.0, 'Titans': 3.25, 'Bengals': 1.362, 'Rams': 0.608}"
Drew Bledsoe,1993,2006,79.656,332.192,"{'Patriots': 52.406, 'Bills': 19.25, 'Cowboys': 8.0}"
Steve McNair,1995,2007,76.984,292.104,"{'Titans': 60.984, 'Ravens': 16.0}"
Joe Burrow,2020,9999,76.19,91.242,{'Bengals': 76.19}
Tyrod Taylor,2011,9999,75.295,107.668,"{'Bills': 26.15, 'Browns': 16.0, 'Chargers': 11.0, 'Giants': 11.0, 'Texans': 5.0, 'Jets': 4.0, 'Ravens': 2.145}"
Jameis Winston,2015,9999,75.089,106.721,"{'Buccaneers': 46.149, 'Saints': 26.15, 'Browns': 2.79}"
Tua Tagovailoa,2020,9999,72.275,80.302,{'Dolphins': 72.275}
Daniel Jones,2019,9999,72.129,87.181,{'Giants': 72.129}
Marcus Mariota,2015,9999,71.086,101.182,"{'Titans': 45.136, 'Raiders': 11.2, 'Falcons': 6.75, 'Eagles': 5.0, 'Commanders': 3.0}"
Mark Brunell,1993,2011,70.638,279.308,"{'Jaguars': 47.9, 'Commanders': 17.485, 'Saints': 3.44, 'Jets': 1.5, 'Packers': 0.313}"
Trevor Lawrence,2021,9999,68.616,79.588,{'Jaguars': 68.616}
Mark Sanchez,2009,2018,66.298,132.958,"{'Jets': 54.225, 'Eagles': 6.75, 'Cowboys': 2.0, 'Bears': 2.0, 'Broncos': 1.0, 'Commanders': 0.323}"
Matt Cassel,2005,2018,65.494,131.486,"{'Chiefs': 46.0, 'Vikings': 9.45, 'Titans': 4.75, 'Cowboys': 1.765, 'Patriots': 1.589, 'Lions': 1.105, 'Bills': 0.835}"
Teddy Bridgewater,2014,2023,65.053,89.064,"{'Panthers': 31.016, 'Saints': 12.25, 'Vikings': 6.85, 'Dolphins': 6.5, 'Broncos': 4.438, 'Lions': 3.0, 'Jets': 1.0}"
Kurt Warner,1997,2009,63.859,208.978,"{'Cardinals': 31.5, 'Rams': 29.354, 'Giants': 3.0, 'Packers': 0.005}"
Chad Pennington,2000,2010,61.456,176.322,"{'Jets': 47.256, 'Dolphins': 14.2}"
Sam Darnold,2018,9999,60.116,77.604,"{'Jets': 25.733, 'Panthers': 23.633, 'Vikings': 6.25, '49ers': 4.5}"
Troy Aikman,1989,2000,55.537,197.189,{'Cowboys': 55.537}
Jacoby Brissett,2016,9999,54.72,69.758,"{'Colts': 30.74, 'Commanders': 8.0, 'Patriots': 6.08, 'Dolphins': 5.0, 'Browns': 4.9}"
